<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
170103,100000,173.41,175.7,173,175.55,5846030
170103,110000,175.56,175.9,174.85,175.41,3948180
170103,120000,175.36,179.2,175.25,178.16,13290750
170103,130000,178.14,178.7,177.8,178.69,5985140
170103,140000,178.69,179.58,178.35,178.59,4296310
170103,150000,178.6,179.58,178.52,179.19,3271990
170103,160000,179.17,179.35,178.9,179.2,1844260
170103,170000,179.22,181.5,179.05,181.35,9014960
170103,180000,181.28,181.68,180.12,180.12,6344560
170104,100000,178.91,179.41,177.64,178.04,8128560
170104,110000,178.01,178.17,177.12,177.42,4937160
170104,120000,177.43,177.63,175.35,175.58,5778920
170104,130000,175.58,176.23,174.23,174.68,5082880
170104,140000,174.65,175.2,174.42,175.1,2745800
170104,150000,175.09,175.88,175.03,175.34,2812140
170104,160000,175.31,175.97,175.03,175.61,2271300
170104,170000,175.55,176.37,175.33,176.24,3779070
170104,180000,176.25,176.62,175.33,175.95,5791790
170105,100000,176.32,177.28,175.7,176.4,4501670
170105,110000,176.35,176.55,175.5,175.96,3408110
170105,120000,176,176.15,174.96,175.67,3394280
170105,130000,175.64,175.84,174.53,175.04,2149320
170105,140000,175.01,175.1,173.71,174.31,4685990
170105,150000,174.27,174.38,173.68,173.96,2292440
170105,160000,173.97,174.17,173,173.09,3564150
170105,170000,173.07,173.24,171.62,171.86,5474510
170105,180000,171.86,172.1,171.54,171.9,5606430
170106,100000,172.41,173.06,171.8,172.72,3948780
170106,110000,172.73,173.75,170.57,170.58,6964810
170106,120000,170.57,171.97,170.57,171.1,3200560
170106,130000,171.1,171.13,169.5,170.59,6446220
170106,140000,170.59,170.79,169.51,170.34,2495000
170106,150000,170.3,171.45,170.06,171.25,2351360
170106,160000,171.26,171.87,170.61,170.99,3026160
170106,170000,171.03,172,170.8,171.99,2461650
170106,180000,171.99,172.18,170.33,170.69,4501400
170109,100000,171.37,172.39,170.38,171.1,5419840
170109,110000,171.1,171.76,170.69,171.24,2713590
170109,120000,171.27,171.48,169.9,170.58,5247230
170109,130000,170.58,170.59,170.2,170.52,1601580
170109,140000,170.46,170.55,170.15,170.17,896170
170109,150000,170.16,170.16,169.1,169.58,4241390
170109,160000,169.6,169.79,168.69,168.85,4787750
170109,170000,168.85,169.12,168.19,168.21,6664240
170109,180000,168.21,168.65,168.05,168.35,3594650
170110,100000,168.37,170.59,167.54,170.52,9024510
170110,110000,170.59,171.4,170.29,171.08,10650760
170110,120000,171.14,171.3,170.8,170.92,3924340
170110,130000,170.91,171.85,170.8,170.85,6316510
170110,140000,170.85,171.2,170.45,171.18,2982360
170110,150000,171.14,172.18,170.67,172,5837460
170110,160000,172.06,172.2,171.6,171.96,10428650
170110,170000,171.96,172.3,171.7,171.9,6025160
170110,180000,171.92,172,170.9,171.6,3644930
170111,100000,171.5,173.05,170.22,172.98,7552570
170111,110000,172.89,173.05,171.5,171.86,6773420
170111,120000,171.86,172.6,171.8,172.42,3263180
170111,130000,172.35,172.75,172,172.63,3939710
170111,140000,172.62,172.64,171.25,171.43,2759200
170111,150000,171.37,171.41,169.02,169.16,10587830
170111,160000,169.16,169.76,168.72,169.1,5680130
170111,170000,169.13,169.8,169.1,169.62,4429880
170111,180000,169.58,170.27,168.54,169.05,7750300
170112,100000,170,170.65,169.67,169.89,5493080
170112,110000,169.89,170.45,169.17,169.49,8725900
170112,120000,169.5,170.27,168.9,169.49,6250800
170112,130000,169.46,170.13,169.2,169.77,5089120
170112,140000,169.77,170.06,169.5,169.6,2542270
170112,150000,169.61,169.94,169.24,169.63,3637760
170112,160000,169.63,169.84,168.56,168.91,4613920
170112,170000,168.97,169.13,168.02,168.88,6584790
170112,180000,168.92,169,168.03,168.27,6867320
170113,100000,168.8,172.39,168.6,169.75,13829190
170113,110000,169.72,169.79,166.14,166.46,16033320
170113,120000,166.49,166.6,165.3,166.01,7897190
170113,130000,166.02,166.02,164.6,164.83,11555620
170113,140000,164.95,165,164.35,164.94,6104160
170113,150000,164.9,165.15,164.4,165,6133980
170113,160000,164.99,165.31,163.88,164.36,7266830
170113,170000,164.28,165.88,163.95,165.53,8869190
170113,180000,165.53,165.79,164.66,164.9,8251300
170116,100000,165.21,165.68,164.06,165.6,4512740
170116,110000,165.6,166,164.35,164.66,6126830
170116,120000,164.67,165.7,164.1,165.63,4978760
170116,130000,165.66,166.8,165.45,165.92,5491990
170116,140000,165.96,166.73,165.55,166.36,2095570
170116,150000,166.31,166.64,166,166.45,1681670
170116,160000,166.45,166.5,165.7,165.71,5808180
170116,170000,165.72,165.88,164.63,164.7,3372490
170116,180000,164.7,165.2,164.5,164.66,3489030
170117,100000,164.71,166.17,163.55,163.85,8496040
170117,110000,163.86,164.74,163.34,164.22,9110950
170117,120000,164.22,165.75,164.17,165.55,6223580
170117,130000,165.55,165.84,164.73,165.31,3002630
170117,140000,165.36,165.6,164.54,165.1,2494330
170117,150000,165.1,165.69,164.51,165.59,2643700
170117,160000,165.53,165.6,164.88,165.28,2401190
170117,170000,165.2,165.6,165,165.05,3182190
170117,180000,165.05,166.47,165.02,165.98,8404810
170118,100000,165.81,167.15,165.72,166.81,6224460
170118,110000,166.83,167.8,166.15,167.75,6978320
170118,120000,167.71,167.79,166.61,166.94,3847610
170118,130000,166.92,166.96,164.31,165.02,8864760
170118,140000,165,165.75,164.7,165.2,2690000
170118,150000,165.17,165.25,164.81,165.13,1369130
170118,160000,165.11,166.14,164.73,165.5,4933480
170118,170000,165.5,166,164.91,165.5,4437870
170118,180000,165.49,165.5,165.09,165.24,3033040
170119,100000,165.5,166.97,164.85,166.86,4926230
170119,110000,166.9,166.99,164.69,164.99,8231100
170119,120000,165.04,166,164.87,165.9,5742020
170119,130000,165.9,166.43,165.4,165.64,2917900
170119,140000,165.66,165.75,165,165.24,2261070
170119,150000,165.25,165.55,165.01,165.08,1381690
170119,160000,165.07,165.99,164.89,165.51,4910650
170119,170000,165.52,165.89,165.4,165.55,2349370
170119,180000,165.56,166.38,165.53,166.3,5752560
170120,100000,166.5,166.55,165.42,165.97,3666270
170120,110000,165.95,166.91,165.94,166.37,3820230
170120,120000,166.32,166.45,165.51,166.09,2498690
170120,130000,166.12,166.65,165.8,166.65,1940950
170120,140000,166.63,167.66,166.47,167.27,7172010
170120,150000,167.3,168.19,166.78,167.26,5359360
