<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
230103,100000,141.6,143.25,141.56,142.74,2896020
230103,101000,142.73,142.98,142.45,142.49,1404190
230103,102000,142.49,142.96,142.46,142.86,786980
230103,103000,142.87,142.9,142.51,142.51,593450
230103,104000,142.53,142.69,142.45,142.59,315310
230103,105000,142.58,142.66,142.4,142.66,538900
230103,110000,142.66,142.9,142.61,142.73,755280
230103,111000,142.73,142.85,142.71,142.84,263660
230103,112000,142.84,142.87,142.65,142.73,277010
230103,113000,142.73,142.9,142.66,142.66,527050
230103,114000,142.66,142.66,142.35,142.47,692110
230103,115000,142.47,142.48,142.42,142.42,471220
230103,120000,142.43,142.43,142.06,142.1,752910
230103,121000,142.1,142.24,142.09,142.24,313480
230103,122000,142.22,142.27,142.2,142.24,311550
230103,123000,142.25,142.3,142.23,142.28,220500
230103,124000,142.27,142.28,142.05,142.09,313990
230103,125000,142.09,142.09,141.9,141.91,472750
230103,130000,141.91,142.06,141.82,142.06,606190
230103,131000,142.05,142.07,142,142,180300
230103,132000,142,142.06,141.9,142.05,191580
230103,133000,142.04,142.05,142,142.01,110430
230103,134000,142.01,142.01,141.83,141.86,138240
230103,135000,141.89,141.89,141.64,141.67,713340
230103,140000,141.68,141.85,141.64,141.77,523940
230103,141000,141.77,141.9,141.64,141.87,261340
230103,142000,141.87,141.89,141.87,141.87,91000
230103,143000,141.88,141.88,141.68,141.73,161690
230103,144000,141.74,141.84,141.73,141.81,104290
230103,145000,141.81,141.81,141.68,141.74,217800
230103,150000,141.75,141.87,141.73,141.87,85960
230103,151000,141.87,141.88,141.75,141.82,89510
230103,152000,141.81,141.87,141.78,141.86,114480
230103,153000,141.85,141.97,141.85,141.97,269850
230103,154000,141.97,141.99,141.9,141.92,192480
230103,155000,141.91,141.98,141.9,141.96,89030
230103,160000,141.96,141.97,141.84,141.86,160990
230103,161000,141.87,141.9,141.76,141.79,161990
230103,162000,141.79,141.79,141.65,141.7,389870
230103,163000,141.7,141.81,141.69,141.74,103750
230103,164000,141.74,141.81,141.7,141.8,167740
230103,165000,141.8,141.81,141.68,141.69,128200
230103,170000,141.69,141.8,141.67,141.76,123240
