<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
240103,100000,271.75,271.75,271.16,271.24,509900
240103,101000,271.24,271.29,271,271.24,300580
240103,102000,271.24,271.9,271.23,271.89,724930
240103,103000,271.89,273,271.88,272.59,1437230
240103,104000,272.59,273.6,272.58,273.35,1481030
240103,105000,273.36,273.7,273.2,273.48,794760
240103,110000,273.49,274.36,273.48,273.55,1672120
240103,111000,273.55,273.92,273.53,273.82,348450
240103,112000,273.81,274.09,273.81,274.01,393210
240103,113000,274.01,274.21,273.83,273.85,399570
240103,114000,273.86,274.04,273.85,273.98,221320
240103,115000,273.99,274.1,273.85,273.93,290080
240103,120000,273.93,273.95,273.13,273.38,761670
240103,121000,273.38,273.49,273.09,273.3,400600
240103,122000,273.29,273.56,273.2,273.39,387930
240103,123000,273.39,273.5,273.21,273.45,353110
240103,124000,273.42,273.81,273.42,273.75,237900
240103,125000,273.75,273.78,273.65,273.7,84360
240103,130000,273.7,273.7,273.25,273.4,312790
240103,131000,273.4,273.61,273.39,273.61,142590
240103,132000,273.61,273.86,273.58,273.85,214160
240103,133000,273.85,274.2,273.84,274.05,634460
240103,134000,274.05,274.05,274,274.01,176580
240103,135000,274,274.05,273.7,273.72,168200
240103,140000,273.71,274,273.7,273.86,136530
240103,141000,273.87,273.96,273.73,273.94,114360
240103,142000,273.91,274.09,273.91,274,129950
240103,143000,274.02,274.03,273.9,274,57840
240103,144000,273.97,274.06,273.95,274.03,87520
240103,145000,274.03,274.1,273.84,274.1,239540
240103,150000,274.1,274.3,274.06,274.23,544260
240103,151000,274.23,274.45,274.22,274.29,237140
240103,152000,274.27,274.35,274.16,274.25,156910
240103,153000,274.22,274.33,274.08,274.32,126520
240103,154000,274.32,274.36,274.31,274.32,127340
240103,155000,274.33,274.34,274.3,274.34,70490
240103,160000,274.33,274.34,274.28,274.31,71960
240103,161000,274.31,274.35,274.16,274.16,112040
240103,162000,274.16,274.2,273.9,273.91,273690
240103,163000,273.92,274,273.9,274,191700
240103,164000,274,274.2,274,274.16,63870
240103,165000,274.16,274.27,274.15,274.24,67100
240103,170000,274.2,274.28,274.15,274.15,66900
240103,171000,274.16,274.2,274.1,274.18,45050
240103,172000,274.15,274.18,274.08,274.17,103170
240103,173000,274.17,274.35,274.16,274.21,599980
240103,174000,274.21,274.34,274.15,274.3,80680
240103,175000,274.3,274.35,274.25,274.27,137530
240103,180000,274.27,274.38,274.26,274.32,151520
240103,181000,274.33,274.38,274.18,274.25,172880
240103,182000,274.26,274.28,274.11,274.15,105570
240103,183000,274.19,274.32,274.1,274.32,167680
