<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
210104,11:00:00,274.67,274.67,273.1,273.94,5217270
210104,12:00:00,273.99,274.49,272.54,273.95,5296560
210104,13:00:00,273.95,276.28,273.93,276,7927210
210104,14:00:00,275.98,276.23,275.02,275.3,2635420
210104,15:00:00,275.3,275.98,275.23,275.68,1642390
210104,16:00:00,275.68,275.85,274.56,275.06,2794540
210104,17:00:00,274.96,276.24,274.94,276.2,4380560
210104,18:00:00,276.19,276.6,275.18,276.28,4271610
210104,19:00:00,276.29,276.48,274.65,276,5685910
210104,20:00:00,275.5,275.6,273.77,273.8,2411180
210104,21:00:00,273.83,273.9,270.61,271.55,4178330
210104,22:00:00,271.55,272.98,271.5,272.6,986610
210104,23:00:00,272.6,272.87,271.82,272.2,759820
210105,00:00:00,272.16,272.29,271.53,272,612050
210105,11:00:00,272.67,273.28,270.28,270.65,7091940
210105,12:00:00,270.65,272.4,270.33,272.38,5466620
210105,13:00:00,272.32,272.94,271.89,272.68,2468690
210105,14:00:00,272.65,273.84,272.46,273.27,3173870
210105,15:00:00,273.21,273.39,272.35,272.71,2225630
210105,16:00:00,272.79,273.36,272.35,273.23,1969870
210105,17:00:00,273.22,273.28,271.8,271.89,2480630
210105,18:00:00,271.89,275.55,271.87,275.4,8649400
210105,19:00:00,275.4,275.7,273.82,273.82,7970830
210105,20:00:00,273.97,274.29,273.41,274.25,1193160
210105,21:00:00,274.25,274.8,274.07,274.59,743200
210105,22:00:00,274.59,275,274.52,274.98,686970
210105,23:00:00,274.98,275.28,274.91,275.27,629440
210106,00:00:00,275.27,275.57,275.16,275.2,803850
210106,11:00:00,275.9,275.92,273.68,274.12,5556990
210106,12:00:00,274.13,274.44,272.38,273.19,6480220
210106,13:00:00,273.19,274.04,272.6,274.01,3891440
210106,14:00:00,274.02,274.16,273.05,273.58,2158690
210106,15:00:00,273.58,273.9,273.24,273.44,1171400
210106,16:00:00,273.42,273.75,272.38,272.47,3048040
210106,17:00:00,272.47,273.1,271.68,271.89,3912630
210106,18:00:00,271.88,273.65,271.62,273.04,3211290
210106,19:00:00,273.06,274.68,272.57,274.68,6851060
210106,20:00:00,274.2,274.34,273.8,274.14,1250650
210106,21:00:00,274.08,274.14,273.9,274.03,635880
210106,22:00:00,274.03,274.49,274,274.22,754900
210106,23:00:00,274.22,274.45,272.86,272.93,1258120
210107,00:00:00,272.93,273.39,272.9,272.93,724030
210108,11:00:00,275.11,277.42,275.11,276.78,12185780
210108,12:00:00,276.76,281.16,276.66,280.24,20695780
210108,13:00:00,280.25,281.69,280.1,280.49,6976500
210108,14:00:00,280.49,282.58,280.27,281.84,7234510
210108,15:00:00,281.87,283.39,281.78,282.54,7762390
210108,16:00:00,282.52,283.09,282.01,282.3,2939890
210108,17:00:00,282.3,282.95,281.81,282.74,3884980
210108,18:00:00,282.8,283.99,282.24,283.64,7715570
210108,19:00:00,283.64,283.75,281.21,282.08,13785510
210108,20:00:00,282.47,282.82,282.04,282.39,1074330
210108,21:00:00,282.45,282.49,281.9,282.41,666930
210108,22:00:00,282.47,282.48,281.15,281.9,1365570
210108,23:00:00,281.95,283.45,281.52,283.38,1042260
210109,00:00:00,283.38,283.65,283.04,283.64,1342940
210111,11:00:00,282.75,282.85,279.48,282.8,10682660
210111,12:00:00,282.8,290.5,282.72,290.11,23398690
210111,13:00:00,290.18,290.35,287.85,288.13,8483540
210111,14:00:00,288.13,289.49,286.75,289.11,7612690
210111,15:00:00,289.18,290.17,288.57,289.77,5651950
210111,16:00:00,289.77,292.95,289.69,292.1,12633250
210111,17:00:00,292.02,292.1,288.76,289.81,11353360
210111,18:00:00,289.81,290.43,285.96,289.09,16156450
210111,19:00:00,289.06,290,287.33,288.85,11680940
210111,20:00:00,289,289.5,288.3,289.47,1867160
210111,21:00:00,289.47,289.89,289.26,289.6,802020
210111,22:00:00,289.6,290.19,289.12,289.4,921700
210111,23:00:00,289.42,289.46,288.88,289.37,513620
210112,00:00:00,289.37,289.67,289.22,289.49,452370
210112,11:00:00,290.5,296.07,289,294.62,22795280
210112,12:00:00,294.64,295,291.27,292.5,13851390
210112,13:00:00,292.47,293.67,291.8,293,5333280
210112,14:00:00,293,294.02,292.54,292.8,3046250
210112,15:00:00,292.84,293.34,291.73,292.32,3457480
210112,16:00:00,292.31,292.7,291.57,292.27,3380760
210112,17:00:00,292.29,292.43,288.5,288.94,8398480
210112,18:00:00,288.94,289.4,286.7,288.51,9379580
210112,19:00:00,288.51,288.8,287.54,288.45,4422520
210112,20:00:00,288.44,288.45,287.6,287.87,1195380
210112,21:00:00,287.8,288.85,287.11,288.73,1409610
210112,22:00:00,288.65,288.77,288.09,288.56,629580
210112,23:00:00,288.56,289.65,288.48,289.56,782880
210113,00:00:00,289.56,290,289.44,289.99,807630
210113,11:00:00,291.01,292.46,287.04,287.97,11683840
210113,12:00:00,287.97,288.29,285.53,285.87,12805460
210113,13:00:00,285.87,287.6,284.75,286.5,7116220
210113,14:00:00,286.46,287.12,284.88,285.21,4319050
210113,15:00:00,285.19,286.25,284.09,286.21,5660860
210113,16:00:00,286.18,286.75,285.43,285.84,4593110
210113,17:00:00,285.78,286,284.37,284.9,4783080
210113,18:00:00,284.93,285,283.1,284.07,6842470
210113,19:00:00,284.08,284.63,283.5,283.66,5187340
210113,20:00:00,283.47,284.05,283.35,283.95,1378000
210113,21:00:00,283.96,284.63,283.57,284.12,805920
210113,22:00:00,284.19,284.5,284,284.43,384760
210113,23:00:00,284.43,285.16,284.18,284.56,1185910
210114,00:00:00,284.56,284.76,283.64,283.78,743760
210114,11:00:00,284,284.71,279.06,281.39,18096470
210114,12:00:00,281.39,283.66,281.1,282.86,9188030
210114,13:00:00,282.86,282.95,281.25,282.35,3608100
210114,14:00:00,282.41,286.9,281.7,285.99,12727820
210114,15:00:00,285.91,286.8,285.01,286.3,6126960
210114,16:00:00,286.3,286.39,284,284.69,5381690
210114,17:00:00,284.73,284.73,282.6,282.94,4417330
210114,18:00:00,282.92,285.74,282.9,285.02,7640280
210114,19:00:00,284.98,285.3,283.92,284.28,3753950
210114,20:00:00,284.26,284.8,283.57,284.71,1345260
210114,21:00:00,284.74,285.2,284.15,284.77,698960
210114,22:00:00,284.79,285.3,284.75,285.04,420410
210114,23:00:00,285.05,285.3,284.75,284.99,515290
210115,00:00:00,284.94,285.05,284.41,284.79,696360
210115,11:00:00,282.55,284.73,281.2,284.13,8043210
210115,12:00:00,284.13,286.16,283.05,283.35,6969240
210115,13:00:00,283.43,285.76,283.06,285,5055300
210115,14:00:00,285,285.1,283.7,284.24,2266030
210115,15:00:00,284.24,284.24,281.3,281.75,8333110
210115,16:00:00,281.74,282,278.14,279,15318830
210115,17:00:00,279.01,280.25,278.21,279.05,4578810
210115,18:00:00,279.04,279.7,277.33,277.43,7321890
210115,19:00:00,277.5,278.2,276,276.82,10762970
210115,20:00:00,276.9,277.64,276.34,277.29,2057890
210115,21:00:00,277.29,277.33,276.75,277.3,759780
210115,22:00:00,277.3,277.33,276.9,276.98,491470
210115,23:00:00,276.98,277.2,276.78,277.09,753910
210116,00:00:00,277.09,277.17,276.8,276.9,974670
210118,11:00:00,275.73,275.91,272.95,273.9,14696710
210118,12:00:00,273.93,276.97,273.75,275.98,12255000
210118,13:00:00,276.07,277.7,275.79,276.96,7495130
210118,14:00:00,276.99,280.2,276.5,279.9,10442680
210118,15:00:00,279.91,280.15,278.77,279.6,4711200
210118,16:00:00,279.64,280.5,279.01,279.09,4413100
210118,17:00:00,279.12,280.95,279.02,280.02,4723770
210118,18:00:00,280.09,280.41,278.66,280.29,5963010
210118,19:00:00,280.3,281.3,279.86,280.95,5249860
210118,20:00:00,280.05,280.05,279.12,279.55,1805560
210118,21:00:00,279.51,279.77,279.01,279.1,526170
210118,22:00:00,279.06,279.41,279,279.18,395520
210118,23:00:00,279.18,279.79,279.09,279.73,458320
210119,00:00:00,279.73,279.89,279.65,279.79,540280
210119,11:00:00,280.98,282.8,280.95,281.85,11913790
210119,12:00:00,281.86,282.11,279.88,280.36,5939250
210119,13:00:00,280.35,280.55,278.32,279.6,6262770
210119,14:00:00,279.6,280.16,278.75,279.58,2356880
210119,15:00:00,279.57,281.27,279.42,280.89,4025830
210119,16:00:00,280.97,281,279.2,280.06,2767250
210119,17:00:00,280.03,280.39,278.93,279.19,3774840
210119,18:00:00,279.15,279.56,277.15,277.9,6895450
210119,19:00:00,277.88,278,276.65,277.09,7348460
210119,20:00:00,277.05,277.72,276.42,277.56,2065770
210119,21:00:00,277.61,277.7,277.18,277.42,568220
210119,22:00:00,277.5,277.5,276.8,277.23,593770
210119,23:00:00,277.23,278.3,277.03,277.9,739500
210120,00:00:00,277.9,278.21,277.86,278.19,431070
210120,11:00:00,278.63,279.87,277.75,278.54,6875660
210120,12:00:00,278.6,279.99,276.77,279.14,6203330
210120,13:00:00,279.17,279.7,278.53,279.37,1881400
210120,14:00:00,279.35,280.5,278.46,279.9,3575200
210120,15:00:00,279.9,280,278.11,278.97,2703050
210120,16:00:00,279.03,279.89,278.91,279.38,2552830
210120,17:00:00,279.37,281.89,279.23,280.95,7799840
210120,18:00:00,280.97,282.49,280.03,280.27,6480910
210120,19:00:00,280.24,281.04,278.7,278.8,5551730
210120,20:00:00,278.71,279.17,278.32,278.85,1627340
210120,21:00:00,278.9,279,278.53,278.98,678220
210120,22:00:00,279,279.92,278.98,279.41,684470
210120,23:00:00,279.41,279.9,279.25,279.6,418830
210121,00:00:00,279.6,280,279.5,279.8,825800
210121,11:00:00,280.78,281.54,279.76,280.11,7241970
210121,12:00:00,280.1,280.31,273.25,274.68,26187500
210121,13:00:00,274.52,276.11,274.06,274.94,10295460
210121,14:00:00,275,275.89,274.84,275.1,3568180
210121,15:00:00,275.1,275.36,272.84,274.32,9891790
210121,16:00:00,274.32,275.49,273.71,275.04,3966530
210121,17:00:00,275.04,275.71,274.05,274.41,3154090
210121,18:00:00,274.38,275.38,273.12,273.54,5732710
210121,19:00:00,273.54,275.75,273.3,275.75,10146260
210121,20:00:00,275.52,275.68,274.74,275.16,1352730
210121,21:00:00,275.2,275.21,274.55,274.56,757540
210121,22:00:00,274.59,275.01,274.57,274.94,368070
210121,23:00:00,274.95,275.2,274.6,274.99,460200
210122,00:00:00,275,275.09,274.36,274.4,642200
210122,11:00:00,273,273.3,271.16,272.06,12095500
210122,12:00:00,272.06,272.39,267.8,268.89,24879020
210122,13:00:00,268.87,269.35,268.05,268.6,8766080
210122,14:00:00,268.58,269.42,267.33,267.85,7786730
210122,15:00:00,267.85,268.2,267,267.74,5027680
210122,16:00:00,267.74,268.6,267.57,268.11,2608310
210122,17:00:00,268.1,268.11,266.78,267.23,5348060
210122,18:00:00,267.2,270,267,268.41,10562260
210122,19:00:00,268.42,268.9,267.5,267.5,6425640
210122,20:00:00,267.61,268.56,267.5,268.55,1122590
210122,21:00:00,268.54,268.67,268.16,268.55,440680
210122,22:00:00,268.55,268.6,268.35,268.43,456770
210122,23:00:00,268.45,268.59,268.03,268.51,704300
210123,00:00:00,268.5,268.52,268.14,268.25,676350
210125,11:00:00,270.54,273.63,270.31,272.48,16387370
210125,12:00:00,272.48,272.48,268.33,269.47,15605880
210125,13:00:00,269.49,269.77,267.75,268.85,8412970
210125,14:00:00,268.82,269.87,268.32,269.51,5531490
210125,15:00:00,269.53,270.57,268.86,269.07,7119940
210125,16:00:00,269.07,269.42,267,267.16,7952470
210125,17:00:00,267.06,267.17,262.71,262.89,28804330
210125,18:00:00,262.89,264.44,262.64,263.9,8182040
210125,19:00:00,263.9,265.61,263.86,265.19,7658670
210125,20:00:00,262.6,264.59,261.65,264.35,5027550
210125,21:00:00,264.35,264.52,263.84,264.45,1015980
210125,22:00:00,264.45,265,264.43,264.93,854190
210125,23:00:00,264.94,265.43,264.88,265.19,564690
210126,00:00:00,265.18,265.46,264.9,265.3,950880
210126,11:00:00,262.9,266.27,262.61,264.56,13606540
210126,12:00:00,264.56,267.74,263.81,267.55,11361340
210126,13:00:00,267.64,268.33,266.78,267.34,6832980
210126,14:00:00,267.31,267.64,265.52,266.46,4489420
210126,15:00:00,266.46,268.98,266.42,268.58,8551010
210126,16:00:00,268.58,269.37,267.7,268.18,5194270
210126,17:00:00,268.18,269.57,266.82,268.14,6657660
210126,18:00:00,268.16,268.67,266.3,268.16,7167290
210126,19:00:00,268.2,268.6,267.15,268.27,6433700
210126,20:00:00,268.17,268.67,267.5,267.77,1431760
210126,21:00:00,267.77,268.18,267.5,268.12,506970
210126,22:00:00,268.12,268.59,268.03,268.47,454960
210126,23:00:00,268.49,269.17,268.46,269,1507550
210127,00:00:00,269,269.49,268.92,269.34,899440
210127,11:00:00,270.07,270.95,269.25,269.93,10913430
210127,12:00:00,269.87,273.07,268.68,271.36,18942350
210127,13:00:00,271.32,273.8,271.26,273.11,8591600
