datetime,open,high,low,close,volume
2017-01-03 10:00:00,173.4,173.4,173.4,173.4,48220
2017-01-03 11:00:00,173.41,175.7,173.0,175.55,5846030
2017-01-03 12:00:00,175.56,175.9,174.85,175.41,3948180
2017-01-03 13:00:00,175.36,179.2,175.25,178.16,13290750
2017-01-03 14:00:00,178.14,178.7,177.8,178.69,5985140
2017-01-03 15:00:00,178.69,179.58,178.35,178.59,4296310
2017-01-03 16:00:00,178.6,179.58,178.52,179.19,3271990
2017-01-03 17:00:00,179.17,179.35,178.9,179.2,1844260
2017-01-03 18:00:00,179.22,181.5,179.05,181.35,9014960
2017-01-03 19:00:00,181.28,181.68,180.12,180.12,6344560
2017-01-04 10:00:00,178.9,178.9,178.9,178.9,73090
2017-01-04 11:00:00,178.91,179.41,177.64,178.04,8128560
2017-01-04 12:00:00,178.01,178.17,177.12,177.42,4937160
2017-01-04 13:00:00,177.43,177.63,175.35,175.58,5778920
2017-01-04 14:00:00,175.58,176.23,174.23,174.68,5082880
2017-01-04 15:00:00,174.65,175.2,174.42,175.1,2745800
2017-01-04 16:00:00,175.09,175.88,175.03,175.34,2812140
2017-01-04 17:00:00,175.31,175.97,175.03,175.61,2271300
2017-01-04 18:00:00,175.55,176.37,175.33,176.24,3779070
2017-01-04 19:00:00,176.25,176.62,175.33,175.95,5791790
2017-01-05 10:00:00,176.31,176.31,176.31,176.31,16140
2017-01-05 11:00:00,176.32,177.28,175.7,176.4,4501670
2017-01-05 12:00:00,176.35,176.55,175.5,175.96,3408110
2017-01-05 13:00:00,176.0,176.15,174.96,175.67,3394280
2017-01-05 14:00:00,175.64,175.84,174.53,175.04,2149320
2017-01-05 15:00:00,175.01,175.1,173.71,174.31,4685990
2017-01-05 16:00:00,174.27,174.38,173.68,173.96,2292440
2017-01-05 17:00:00,173.97,174.17,173.0,173.09,3564150
2017-01-05 18:00:00,173.07,173.24,171.62,171.86,5474510
2017-01-05 19:00:00,171.86,172.1,171.54,171.9,5606430
2017-01-06 10:00:00,172.4,172.4,172.4,172.4,19650
2017-01-06 11:00:00,172.41,173.06,171.8,172.72,3948780
2017-01-06 12:00:00,172.73,173.75,170.57,170.58,6964810
2017-01-06 13:00:00,170.57,171.97,170.57,171.1,3200560
2017-01-06 14:00:00,171.1,171.13,169.5,170.59,6446220
2017-01-06 15:00:00,170.59,170.79,169.51,170.34,2495000
2017-01-06 16:00:00,170.3,171.45,170.06,171.25,2351360
2017-01-06 17:00:00,171.26,171.87,170.61,170.99,3026160
2017-01-06 18:00:00,171.03,172.0,170.8,171.99,2461650
2017-01-06 19:00:00,171.99,172.18,170.33,170.69,4501400
2017-01-09 10:00:00,171.37,171.37,171.37,171.37,20940
2017-01-09 11:00:00,171.37,172.39,170.38,171.1,5419840
2017-01-09 12:00:00,171.1,171.76,170.69,171.24,2713590
2017-01-09 13:00:00,171.27,171.48,169.9,170.58,5247230
2017-01-09 14:00:00,170.58,170.59,170.2,170.52,1601580
2017-01-09 15:00:00,170.46,170.55,170.15,170.17,896170
2017-01-09 16:00:00,170.16,170.16,169.1,169.58,4241390
2017-01-09 17:00:00,169.6,169.79,168.69,168.85,4787750
2017-01-09 18:00:00,168.85,169.12,168.19,168.21,6664240
2017-01-09 19:00:00,168.21,168.65,168.05,168.35,3594650
2017-01-10 10:00:00,168.35,168.35,168.35,168.35,39440
2017-01-10 11:00:00,168.37,170.59,167.54,170.52,9024510
2017-01-10 12:00:00,170.59,171.4,170.29,171.08,10650760
2017-01-10 13:00:00,171.14,171.3,170.8,170.92,3924340
2017-01-10 14:00:00,170.91,171.85,170.8,170.85,6316510
2017-01-10 15:00:00,170.85,171.2,170.45,171.18,2982360
2017-01-10 16:00:00,171.14,172.18,170.67,172.0,5837460
2017-01-10 17:00:00,172.06,172.2,171.6,171.96,10428650
2017-01-10 18:00:00,171.96,172.3,171.7,171.9,6025160
2017-01-10 19:00:00,171.92,172.0,170.9,171.6,3644930
2017-01-11 10:00:00,171.5,171.5,171.5,171.5,36570
2017-01-11 11:00:00,171.5,173.05,170.22,172.98,7552570
2017-01-11 12:00:00,172.89,173.05,171.5,171.86,6773420
2017-01-11 13:00:00,171.86,172.6,171.8,172.42,3263180
2017-01-11 14:00:00,172.35,172.75,172.0,172.63,3939710
2017-01-11 15:00:00,172.62,172.64,171.25,171.43,2759200
2017-01-11 16:00:00,171.37,171.41,169.02,169.16,10587830
2017-01-11 17:00:00,169.16,169.76,168.72,169.1,5680130
2017-01-11 18:00:00,169.13,169.8,169.1,169.62,4429880
2017-01-11 19:00:00,169.58,170.27,168.54,169.05,7750300
2017-01-12 10:00:00,170.0,170.0,170.0,170.0,49980
2017-01-12 11:00:00,170.0,170.65,169.67,169.89,5493080
2017-01-12 12:00:00,169.89,170.45,169.17,169.49,8725900
2017-01-12 13:00:00,169.5,170.27,168.9,169.49,6250800
2017-01-12 14:00:00,169.46,170.13,169.2,169.77,5089120
2017-01-12 15:00:00,169.77,170.06,169.5,169.6,2542270
2017-01-12 16:00:00,169.61,169.94,169.24,169.63,3637760
2017-01-12 17:00:00,169.63,169.84,168.56,168.91,4613920
2017-01-12 18:00:00,168.97,169.13,168.02,168.88,6584790
2017-01-12 19:00:00,168.92,169.0,168.03,168.27,6867320
2017-01-13 10:00:00,168.79,168.79,168.79,168.79,49790
2017-01-13 11:00:00,168.8,172.39,168.6,169.75,13829190
2017-01-13 12:00:00,169.72,169.79,166.14,166.46,16033320
2017-01-13 13:00:00,166.49,166.6,165.3,166.01,7897190
2017-01-13 14:00:00,166.02,166.02,164.6,164.83,11555620
2017-01-13 15:00:00,164.95,165.0,164.35,164.94,6104160
2017-01-13 16:00:00,164.9,165.15,164.4,165.0,6133980
2017-01-13 17:00:00,164.99,165.31,163.88,164.36,7266830
2017-01-13 18:00:00,164.28,165.88,163.95,165.53,8869190
2017-01-13 19:00:00,165.53,165.79,164.66,164.9,8251300
2017-01-16 10:00:00,165.22,165.22,165.22,165.22,20210
2017-01-16 11:00:00,165.21,165.68,164.06,165.6,4512740
2017-01-16 12:00:00,165.6,166.0,164.35,164.66,6126830
2017-01-16 13:00:00,164.67,165.7,164.1,165.63,4978760
2017-01-16 14:00:00,165.66,166.8,165.45,165.92,5491990
2017-01-16 15:00:00,165.96,166.73,165.55,166.36,2095570
2017-01-16 16:00:00,166.31,166.64,166.0,166.45,1681670
2017-01-16 17:00:00,166.45,166.5,165.7,165.71,5808180
2017-01-16 18:00:00,165.72,165.88,164.63,164.7,3372490
2017-01-16 19:00:00,164.7,165.2,164.5,164.66,3489030
2017-01-17 10:00:00,164.67,164.67,164.67,164.67,8890
2017-01-17 11:00:00,164.71,166.17,163.55,163.85,8496040
2017-01-17 12:00:00,163.86,164.74,163.34,164.22,9110950
2017-01-17 13:00:00,164.22,165.75,164.17,165.55,6223580
2017-01-17 14:00:00,165.55,165.84,164.73,165.31,3002630
2017-01-17 15:00:00,165.36,165.6,164.54,165.1,2494330
2017-01-17 16:00:00,165.1,165.69,164.51,165.59,2643700
2017-01-17 17:00:00,165.53,165.6,164.88,165.28,2401190
2017-01-17 18:00:00,165.2,165.6,165.0,165.05,3182190
2017-01-17 19:00:00,165.05,166.47,165.02,165.98,8404810
2017-01-18 10:00:00,165.9,165.9,165.9,165.9,101230
2017-01-18 11:00:00,165.81,167.15,165.72,166.81,6224460
2017-01-18 12:00:00,166.83,167.8,166.15,167.75,6978320
2017-01-18 13:00:00,167.71,167.79,166.61,166.94,3847610
2017-01-18 14:00:00,166.92,166.96,164.31,165.02,8864760
2017-01-18 15:00:00,165.0,165.75,164.7,165.2,2690000
2017-01-18 16:00:00,165.17,165.25,164.81,165.13,1369130
2017-01-18 17:00:00,165.11,166.14,164.73,165.5,4933480
2017-01-18 18:00:00,165.5,166.0,164.91,165.5,4437870
2017-01-18 19:00:00,165.49,165.5,165.09,165.24,3033040
2017-01-19 10:00:00,165.46,165.46,165.46,165.46,6250
2017-01-19 11:00:00,165.5,166.97,164.85,166.86,4926230
2017-01-19 12:00:00,166.9,166.99,164.69,164.99,8231100
2017-01-19 13:00:00,165.04,166.0,164.87,165.9,5742020
2017-01-19 14:00:00,165.9,166.43,165.4,165.64,2917900
2017-01-19 15:00:00,165.66,165.75,165.0,165.24,2261070
